日期,股票代码,名称,行业,成交金额（亿）,开盘价,T日收盘价,T-1日收盘价,T日涨跌幅,T+1日涨跌幅,T+2日涨跌幅
2026-03-26,601318.XSHG,中国平安,非银金融I,58.02,58.78,56.8,58.79,-3.38,0.26,-1.09
2026-03-31,002463.XSHE,沪电股份,电子I,48.93,78.43,75.62,78.82,-4.06,4.36,-3.8
2026-03-31,688008.XSHG,澜起科技,电子I,46.28,130.0,125.28,132.0,-5.09,3.74,-0.75
2026-04-10,300442.XSHE,润泽科技,通信I,51.56,88.0,87.04,87.29,-0.29,2.5,2.15
2026-04-15,000657.XSHE,中钨高新,有色金属I,58.38,50.96,47.18,49.94,-5.53,10.0,8.13
2026-04-24,002371.XSHE,北方华创,电子I,61.64,475.03,472.7,475.0,-0.48,9.21,0.19
2026-05-12,300442.XSHE,润泽科技,通信I,74.57,96.68,91.38,97.91,-6.67,11.21,-1.92
2026-05-14,601991.XSHG,大唐发电,公用事业I,145.17,8.11,7.2,7.37,-2.31,10.0,0.13
2026-05-21,300475.XSHE,香农芯创,电子I,81.14,190.82,177.75,186.4,-4.64,5.59,8.99
2026-05-21,002436.XSHE,兴森科技,电子I,79.32,33.54,33.29,33.54,-0.75,6.4,7.62
2026-05-21,600183.XSHG,生益科技,电子I,74.45,102.15,98.19,100.56,-2.36,10.0,7.88
